date,code,open,high,low,close,volume,value,trans,adj,exchange,datasource,log_return,symbol_qse,symbol_sax,symbol_vre
2014-12-02,SPY,241.83,241.83,241.83,241.83,83,20072,1,1,AXW,TME,-0.014817518215272,A,A,D
2014-12-04,SPY,248.08,248.08,248.08,248.08,80,19846,1,1,AXW,TME,0.0255162748285743,E,E,E
2014-12-05,SPY,247.91,248.41,247.8,248.41,664,164611,11,1,AXW,TME,0.0013293321057659,C,C,E
2014-12-08,SPY,250.87,251.06,250.18,251.06,1788,447716,9,1,AXW,TME,0.0106113474921027,E,E,E
2014-12-09,SPY,252.0,252.0,249.24,250.16,2174,543438,18,1,AXW,TME,-0.0035912412404765,B,B,E
2014-12-10,SPY,252.0,252.0,248.0,248.0,436,108402,10,1,AXW,TME,-0.0086719669846036,A,A,D
2014-12-11,SPY,245.0,245.0,242.91,244.05,512,124755,7,1,AXW,TME,-0.0160556238318256,A,A,E
2014-12-12,SPY,246.5,246.5,245.9,245.9,48,11827,2,1,AXW,TME,0.0075518268889903,D,D,D
2014-12-15,SPY,245.0,245.0,242.8,244.9,249,60780,10,1,AXW,TME,-0.0040749852640248,B,B,D
2014-12-16,SPY,243.28,244.16,243.0,243.12,570,138843,7,1,AXW,TME,-0.0072948153495844,A,B,D
2014-12-17,SPY,243.5,243.5,242.0,242.0,138,33436,4,1,AXW,TME,-0.0046174224518512,B,B,D
2014-12-18,SPY,242.3,249.0,242.3,248.3,923,227023,9,1,AXW,TME,0.0256999663574346,E,E,E
2014-12-19,SPY,253.43,253.43,253.43,253.43,39,9884,1,1,AXW,TME,0.0204499582627824,E,E,E
2014-12-22,SPY,254.36,254.67,254.36,254.67,296,75351,2,1,AXW,TME,0.0048809386410827,D,D,E
2014-12-23,SPY,255.2,255.69,254.66,255.69,63165,16088307,12,1,AXW,TME,0.0039971837843297,D,D,E
2014-12-24,SPY,256.74,256.82,256.63,256.63,245,62900,6,1,AXW,TME,0.0036695856293932,D,D,E
2014-12-29,SPY,258.35,258.35,258.19,258.19,34,8782,2,1,AXW,TME,0.0060603891638951,D,D,E
2014-12-30,SPY,258.16,258.16,258.0,258.0,319,82339,4,1,AXW,TME,-0.0007361630739869,C,C,E
2014-12-31,SPY,255.2,255.2,253.84,253.84,153,39002,4,1,AXW,TME,-0.0162554376466773,A,A,E
2015-01-02,SPY,253.33,253.33,253.33,253.33,157,39773,1,1,AXW,TME,-0.0020111606439756,B,B,E
2015-01-05,SPY,254.0,254.75,253.0,254.75,233,59139,12,1,AXW,TME,0.0055896854718697,D,D,E
2015-01-06,SPY,252.0,252.0,248.6,248.6,306,76738,8,1,AXW,TME,-0.0244374930262235,A,A,E
2015-01-07,SPY,248.18,248.6,248.04,248.43,274,68001,7,1,AXW,TME,-0.0006840633628922,C,C,E
2015-01-08,SPY,250.9,251.23,250.75,251.23,64,16068,3,1,AXW,TME,0.0112077385011107,E,E,E
2015-01-09,SPY,252.98,252.98,252.84,252.95,442,111789,5,1,AXW,TME,0.0068229865231158,D,D,E
2015-01-12,SPY,248.72,248.87,247.65,247.71,362,89937,11,1,AXW,TME,-0.0209331336404981,A,A,E
2015-01-13,SPY,249.0,249.0,247.74,247.91,660,164283,4,1,AXW,TME,0.0008070699764174,C,C,E
2015-01-14,SPY,247.72,247.72,246.0,246.0,479,118507,8,1,AXW,TME,-0.0077342411415016,A,B,E
2015-01-15,SPY,247.72,247.91,245.11,245.11,382,94289,7,1,AXW,TME,-0.0036244465569772,B,B,E
2015-01-16,SPY,242.82,242.82,240.05,240.05,381,91878,8,1,AXW,TME,-0.020859854398436,A,A,E
2015-01-19,SPY,245.8,245.8,245.7,245.71,157,38585,3,1,AXW,TME,0.0233047437626599,E,E,E
2015-01-20,SPY,246.3,246.98,246.3,246.98,202,49759,5,1,AXW,TME,0.0051553829500669,D,D,E
2015-01-21,SPY,247.42,247.42,246.51,247.13,161,39788,4,1,AXW,TME,0.0006071522721981,C,C,E
2015-01-22,SPY,252.33,252.66,252.33,252.47,326,82314,6,1,AXW,TME,0.0213779158136612,E,E,E
2015-01-23,SPY,257.43,257.43,256.48,257.1,380,97671,8,1,AXW,TME,0.0181726844963081,E,E,E
2015-01-27,SPY,260.0,260.12,260.0,260.12,263,68395,4,1,AXW,TME,0.0116779487291073,E,E,E
2015-01-28,SPY,257.75,257.75,255.0,255.99,333,85585,4,1,AXW,TME,-0.0160046817843479,A,A,E
2015-01-29,SPY,256.0,256.0,253.37,253.37,238,60316,3,1,AXW,TME,-0.010287510235597,A,A,E
2015-01-30,SPY,260.4,260.4,259.19,259.36,360,93542,7,1,AXW,TME,0.0233661870063599,E,E,E
2015-02-02,SPY,256.3,256.92,256.3,256.92,146,37470,3,1,AXW,TME,-0.0094523055977742,A,A,E
2015-02-03,SPY,258.64,263.49,258.0,263.49,606,158915,3,1,AXW,TME,0.0252506642075439,E,E,E
2015-02-04,SPY,266.0,266.0,261.83,261.83,484,127316,7,1,AXW,TME,-0.0063199783953548,A,B,E
2015-02-05,SPY,262.37,262.37,261.0,261.0,190,49722,11,1,AXW,TME,-0.0031750308790875,B,B,E
2015-02-06,SPY,263.21,263.21,263.21,263.21,19,5001,1,1,AXW,TME,0.0084317853276905,E,D,E
2015-02-09,SPY,264.3,264.49,263.84,263.88,436,115214,5,1,AXW,TME,0.0025422617042861,C,C,E
2015-02-10,SPY,266.0,266.0,262.35,262.35,283,74592,4,1,AXW,TME,-0.0058149642219492,B,B,E
2015-02-11,SPY,265.94,266.23,265.94,266.23,142,37800,3,1,AXW,TME,0.0146811066985709,E,E,E
2015-02-12,SPY,269.57,269.57,269.57,269.57,20,5391,1,1,AXW,TME,0.0124675000508388,E,E,E
2015-02-13,SPY,270.2,270.2,269.0,269.52,855,230390,8,1,AXW,TME,-0.0001854977838334,C,C,E
2015-02-16,SPY,269.55,269.55,269.55,269.55,8,2156,1,1,AXW,TME,0.0001113027993803,C,C,E
2015-02-17,SPY,269.18,269.18,268.36,268.36,280,75144,3,1,AXW,TME,-0.0044245392029903,B,B,E
2015-02-18,SPY,268.62,268.62,268.5,268.5,77,20679,2,1,AXW,TME,0.0005215512542319,C,C,E
2015-02-19,SPY,269.27,269.27,268.41,268.41,303,81412,6,1,AXW,TME,-0.0003352517213049,C,C,E
2015-02-23,SPY,269.62,269.83,268.98,269.83,833,224448,5,1,AXW,TME,0.005276468841154,D,D,D
2015-02-24,SPY,271.42,271.42,271.42,271.42,4,1086,1,1,AXW,TME,0.0058753055844562,D,D,D
2015-02-25,SPY,270.44,270.44,269.5,269.5,149,40169,4,1,AXW,TME,-0.0070990463041728,A,B,D
2015-02-26,SPY,269.5,269.5,268.0,268.0,21,5657,2,1,AXW,TME,-0.0055814098381951,B,B,D
2015-02-27,SPY,271.53,271.53,271.53,271.53,15,4073,1,1,AXW,TME,0.0130856499963322,E,E,D
2015-03-02,SPY,272.19,272.22,272.19,272.22,34,9255,2,1,AXW,TME,0.0025379323967386,C,C,C
2015-03-03,SPY,273.53,273.58,271.65,271.65,298,81314,3,1,AXW,TME,-0.0020960899063956,B,B,C
2015-03-04,SPY,269.92,270.0,268.99,268.99,426,114955,3,1,AXW,TME,-0.0098402688078795,A,A,B
2015-03-05,SPY,269.65,269.65,269.35,269.35,245,66009,3,1,AXW,TME,0.0013374449368903,C,C,B
2015-03-06,SPY,270.29,270.29,270.29,270.29,130,35138,1,1,AXW,TME,0.0034838075410451,D,D,B
2015-03-09,SPY,269.7,269.7,268.52,269.4,482,129684,4,1,AXW,TME,-0.0032981926913244,B,B,B
2015-03-10,SPY,269.4,271.4,269.4,271.33,709,192084,4,1,AXW,TME,0.0071385282704207,D,D,B
2015-03-11,SPY,269.13,270.12,269.0,270.12,371,99844,4,1,AXW,TME,-0.0044694875400429,B,B,B
2015-03-12,SPY,269.0,270.59,269.0,270.59,145,39091,3,1,AXW,TME,0.001738455432193,C,C,A
2015-03-13,SPY,269.61,269.63,268.99,269.63,150,40427,3,1,AXW,TME,-0.0035541113270014,B,B,A
2015-03-16,SPY,269.96,269.96,268.71,268.71,328,88141,2,1,AXW,TME,-0.0034179176566192,B,B,A
2015-03-17,SPY,272.9,272.9,272.9,272.9,371,101246,2,1,AXW,TME,0.0154726965590792,E,E,B
2015-03-18,SPY,273.46,273.46,273.46,273.46,18,4922,1,1,AXW,TME,0.0020499311666428,C,C,B
2015-03-19,SPY,272.25,272.25,271.5,271.95,314,85378,4,1,AXW,TME,-0.0055371330119657,B,B,B
2015-03-20,SPY,273.43,273.43,273.15,273.15,2020,552323,3,1,AXW,TME,0.0044028689727569,D,D,B
2015-03-23,SPY,271.16,271.16,269.5,269.5,824,222573,8,1,AXW,TME,-0.0134527044926746,A,A,B
2015-03-24,SPY,267.17,267.73,266.97,267.73,586,156720,5,1,AXW,TME,-0.0065893803564043,A,B,B
2015-03-25,SPY,265.68,265.68,264.79,265.21,218,57827,4,1,AXW,TME,-0.0094570450011974,A,A,C
2015-03-26,SPY,263.5,264.11,262.96,264.11,95,25024,3,1,AXW,TME,-0.0041562819599177,B,B,B
2015-03-27,SPY,263.05,263.15,262.72,263.01,129,33926,4,1,AXW,TME,-0.0041736287629286,B,B,B
2015-03-30,SPY,267.04,267.04,267.04,267.04,50,13352,1,1,AXW,TME,0.015206405644921,E,E,C
2015-03-31,SPY,272.07,272.07,271.92,271.92,218,59309,2,1,AXW,TME,0.0181094454743355,E,E,C
2015-04-01,SPY,272.1,272.1,267.99,268.72,2395,645250,5,1,AXW,TME,-0.0118379600838232,A,A,C
2015-04-02,SPY,272.07,272.07,272.07,272.07,12,3265,1,1,AXW,TME,0.0123894408235485,E,E,D
2015-04-07,SPY,274.0,274.0,272.1,272.1,150,40943,6,1,AXW,TME,0.0001102596616146,C,C,D
2015-04-08,SPY,271.05,271.05,271.05,271.05,53,14366,1,1,AXW,TME,-0.0038663400828534,B,B,D
2015-04-09,SPY,271.5,271.5,270.89,270.89,195,52939,2,1,AXW,TME,-0.0005904712870383,C,C,D
2015-04-10,SPY,270.92,270.92,270.89,270.89,185,50120,2,1,AXW,TME,0.0,C,C,D
2015-04-13,SPY,274.78,277.22,274.78,277.22,73,20147,2,1,AXW,TME,0.0230985803658981,E,E,D
2015-04-15,SPY,275.75,275.78,275.75,275.78,17,4688,2,1,AXW,TME,-0.005207968371612,B,B,D
2015-04-16,SPY,272.15,272.15,272.15,272.15,40,10886,1,1,AXW,TME,-0.0132500615333861,A,A,D
2015-04-17,SPY,270.95,270.95,270.39,270.85,186,50366,4,1,AXW,TME,-0.004788222776301,B,B,D
2015-04-20,SPY,267.95,267.95,267.11,267.79,86,23030,5,1,AXW,TME,-0.0113620708435166,A,A,D
2015-04-21,SPY,272.97,273.27,272.97,273.27,124,33869,3,1,AXW,TME,0.0202572261644367,E,E,E
2015-04-23,SPY,272.33,272.33,272.33,272.33,13,3540,2,1,AXW,TME,-0.0034457512099239,B,B,E
2015-04-24,SPY,272.09,272.09,271.39,271.39,115,31260,2,1,AXW,TME,-0.0034576654767531,B,B,D
2015-04-27,SPY,271.0,271.0,271.0,271.0,110,29810,1,1,AXW,TME,-0.0014380798584501,B,C,D
2015-04-28,SPY,268.63,268.63,268.52,268.52,97,26053,2,1,AXW,TME,-0.0091934218091501,A,A,D
2015-04-29,SPY,264.96,265.0,264.96,265.0,47,12455,2,1,AXW,TME,-0.0131955730843284,A,A,D
2015-04-30,SPY,262.87,263.01,262.87,263.01,62,16304,2,1,AXW,TME,-0.0075377717176183,A,B,D
2015-05-01,SPY,264.91,264.98,264.91,264.98,112,29673,2,1,AXW,TME,0.0074622971713732,D,D,D
2015-05-04,SPY,269.0,269.28,269.0,269.28,2004,539636,3,1,AXW,TME,0.0160973790025186,E,E,D
2015-05-05,SPY,270.03,270.03,270.03,270.03,15,4050,1,1,AXW,TME,0.0027813334946076,D,C,D
2015-05-06,SPY,264.1,264.1,263.32,263.32,40,10548,2,1,AXW,TME,-0.0251630413374275,A,A,E
2015-05-07,SPY,261.81,261.81,261.0,261.0,578,151263,5,1,AXW,TME,-0.0088496152769825,A,A,E
2015-05-08,SPY,265.59,265.59,265.52,265.52,45,11950,2,1,AXW,TME,0.0171697600890257,E,E,E
2015-05-11,SPY,268.09,268.09,268.09,268.09,105,28149,1,1,AXW,TME,0.0096325776194439,E,E,E
2015-05-12,SPY,265.91,265.91,265.54,265.54,203,53974,2,1,AXW,TME,-0.0095572565634069,A,A,E
2015-05-14,SPY,259.59,259.59,258.13,258.13,157,40662,4,1,AXW,TME,-0.0283021544800153,A,A,E
2015-05-15,SPY,264.24,264.24,263.21,263.37,806,212276,5,1,AXW,TME,0.0200965536184864,E,E,E
2015-05-18,SPY,265.41,265.41,264.8,264.8,165,43743,4,1,AXW,TME,0.0054149364566261,D,D,E
2015-05-19,SPY,267.35,267.65,266.78,267.0,354,94576,6,1,AXW,TME,0.0082738343373963,E,D,E
2015-05-20,SPY,269.92,269.92,269.18,269.18,210,56665,2,1,AXW,TME,0.0081316424053201,E,D,E
2015-05-22,SPY,270.58,270.58,270.03,270.03,280,75636,3,1,AXW,TME,0.0031527631315338,D,D,E
2015-05-25,SPY,273.0,273.06,272.21,272.97,141,38483,6,1,AXW,TME,0.0108288350996056,E,E,E
2015-05-26,SPY,272.19,272.19,272.0,272.12,263,71583,3,1,AXW,TME,-0.0031187535598491,B,B,E
2015-05-27,SPY,273.26,273.26,272.5,272.53,65,17715,4,1,AXW,TME,0.0015055543099066,C,C,E
2015-06-01,SPY,276.86,276.86,276.86,276.86,36,9967,1,1,AXW,TME,0.0157632634728221,E,E,E
2015-06-02,SPY,275.57,275.57,275.57,275.57,20,5511,1,1,AXW,TME,-0.0046702834557881,B,B,E
2015-06-03,SPY,272.53,272.56,270.7,271.3,202,54934,6,1,AXW,TME,-0.0156164601389146,A,A,E
2015-06-09,SPY,271.25,271.5,271.0,271.5,241,65406,4,1,AXW,TME,0.0007369197091041,C,C,E
2015-06-11,SPY,271.75,271.75,271.75,271.75,170,46198,1,1,AXW,TME,0.0009203866273287,C,C,E
2015-06-15,SPY,271.3,271.3,270.89,270.89,116,31440,3,1,AXW,TME,-0.0031696915820098,B,B,E
2015-06-17,SPY,271.68,272.13,271.68,272.13,40,10876,2,1,AXW,TME,0.0045670588756536,D,D,E
2015-06-18,SPY,271.97,271.97,271.97,271.97,110,29917,1,1,AXW,TME,-0.0005881271994555,C,C,D
2015-06-19,SPY,271.88,271.88,271.88,271.88,53,14410,1,1,AXW,TME,-0.0003309736170694,C,C,D
2015-06-22,SPY,271.37,271.42,271.37,271.42,87,23610,2,1,AXW,TME,-0.0016933558252126,B,C,D
2015-06-23,SPY,274.16,275.47,274.16,275.47,276,75937,4,1,AXW,TME,0.0148112930885197,E,E,D
2015-06-24,SPY,274.0,274.72,273.99,274.62,331,90813,6,1,AXW,TME,-0.0030904058481388,B,B,C
2015-06-26,SPY,272.0,272.0,272.0,272.0,18,4896,1,1,AXW,TME,-0.0095862575976084,A,A,C
2015-06-29,SPY,271.46,271.46,271.38,271.38,192,52105,2,1,AXW,TME,-0.0022820135781905,B,B,C
2015-06-30,SPY,268.82,268.82,268.27,268.69,459,123281,4,1,AXW,TME,-0.0099617540151767,A,A,C
2015-07-01,SPY,267.98,267.98,267.5,267.52,201,53783,4,1,AXW,TME,-0.0043639688062932,B,B,C
2015-07-02,SPY,271.43,271.43,271.43,271.43,175,47500,2,1,AXW,TME,0.0145099493469262,E,E,C
2015-07-03,SPY,273.62,273.62,273.62,273.62,30,8209,1,1,AXW,TME,0.0080360032487051,E,D,C
2015-07-06,SPY,274.03,274.06,274.03,274.06,56,15346,2,1,AXW,TME,0.0016067780260869,C,C,C
2015-07-07,SPY,277.22,277.84,277.22,277.84,75,20818,3,1,AXW,TME,0.0136983479177635,E,E,C
2015-07-08,SPY,278.44,278.56,278.44,278.56,155,43170,2,1,AXW,TME,0.0025880675840603,C,C,C
2015-07-09,SPY,276.19,276.19,276.19,276.19,1000,276190,1,1,AXW,TME,-0.0085444413482086,A,A,C
2015-07-10,SPY,276.43,276.43,276.14,276.14,31,8561,2,1,AXW,TME,-0.000181051183664,C,C,B
2015-07-13,SPY,278.2,278.95,278.2,278.95,162,45136,2,1,AXW,TME,0.010124570803531,E,E,C
2015-07-14,SPY,283.5,283.5,282.85,282.85,36,10205,2,1,AXW,TME,0.0138841674976275,E,E,C
2015-07-15,SPY,282.37,282.37,282.37,282.37,105,29649,1,1,AXW,TME,-0.0016984541077452,B,C,C
2015-07-16,SPY,286.88,286.88,286.88,286.88,18,5164,1,1,AXW,TME,0.0158457421754031,E,E,C
2015-07-17,SPY,286.57,286.57,286.32,286.34,282,80788,4,1,AXW,TME,-0.0018840939246413,B,C,C
2015-07-20,SPY,288.03,289.79,288.03,289.0,374,108189,5,1,AXW,TME,0.0092467721802507,E,E,C
2015-07-21,SPY,288.57,289.4,288.25,289.4,173,49938,4,1,AXW,TME,0.0013831260849513,C,C,C
2015-07-22,SPY,289.0,289.0,285.11,285.11,404,115604,5,1,AXW,TME,-0.0149347434817488,A,A,D
2015-07-23,SPY,287.97,287.97,287.44,287.44,98,28215,2,1,AXW,TME,0.0081390720896286,E,D,D
2015-07-24,SPY,287.35,289.17,287.35,288.75,2064,593223,4,1,AXW,TME,0.0045471190307399,D,D,C
2015-07-27,SPY,286.55,286.55,286.0,286.0,204,58439,2,1,AXW,TME,-0.0095694510161506,A,A,D
2015-07-28,SPY,285.14,285.14,285.14,285.14,2,570,1,1,AXW,TME,-0.0030115230940377,B,B,C
2015-07-29,SPY,285.58,285.58,285.34,285.34,363,103657,3,1,AXW,TME,0.0007011639608534,C,C,C
2015-07-30,SPY,288.35,288.35,287.74,288.0,173,49832,5,1,AXW,TME,0.0092790284492776,E,E,C
2015-07-31,SPY,289.01,289.06,289.01,289.04,384,110988,4,1,AXW,TME,0.0036046067034389,D,D,C
2015-08-03,SPY,289.01,289.01,288.32,288.32,198,57206,3,1,AXW,TME,-0.0024941124194118,B,B,C
2015-08-04,SPY,285.5,285.5,285.5,285.5,30,8565,1,1,AXW,TME,-0.0098289453239081,A,A,C
2015-08-06,SPY,285.8,286.38,285.5,286.38,239,68316,4,1,AXW,TME,0.0030775711497952,D,C,C
2015-08-07,SPY,284.31,284.31,283.45,283.7,239,67824,6,1,AXW,TME,-0.0094022584310545,A,A,C
2015-08-10,SPY,281.62,282.03,281.62,282.03,158,44531,3,1,AXW,TME,-0.0059038935562365,B,B,C
2015-08-11,SPY,286.07,286.07,286.07,286.07,18,5149,1,1,AXW,TME,0.0142230878583603,E,E,C
2015-08-12,SPY,285.96,286.07,285.96,286.07,1121,320574,3,1,AXW,TME,0.0,C,C,C
2015-08-13,SPY,283.63,283.91,283.63,283.91,206,58467,2,1,AXW,TME,-0.0075792495880362,A,B,C
2015-08-14,SPY,283.15,283.6,283.15,283.6,270,76541,2,1,AXW,TME,-0.0010924918709206,C,C,C
2015-08-19,SPY,286.88,286.88,286.82,286.82,38,10901,2,1,AXW,TME,0.0112900466430937,E,E,C
2015-08-20,SPY,283.0,283.0,283.0,283.0,50,14150,1,1,AXW,TME,-0.0134079436578285,A,A,C
2015-08-21,SPY,277.7,277.97,276.63,276.81,136,37720,6,1,AXW,TME,-0.0221155473846635,A,A,D
2015-08-24,SPY,271.51,271.51,268.63,268.63,249,67351,5,1,AXW,TME,-0.0299963821606095,A,A,D
2015-08-25,SPY,264.79,266.62,264.79,265.0,153,40636,7,1,AXW,TME,-0.0136051421117424,A,A,D
2015-08-26,SPY,262.17,263.41,261.63,263.41,1830,479258,4,1,AXW,TME,-0.0060180723255629,B,B,D
2015-08-27,SPY,273.5,274.34,273.5,274.34,568,155409,5,1,AXW,TME,0.0406564593896014,E,E,E
2015-08-28,SPY,278.67,278.92,277.58,277.58,542,150994,4,1,AXW,TME,0.0117409668774329,E,E,E
2015-08-31,SPY,277.29,277.29,277.29,277.29,32,8873,1,1,AXW,TME,-0.0010452899828977,C,C,E
2015-09-01,SPY,275.0,275.0,273.12,273.12,310,84960,4,1,AXW,TME,-0.0151526308986654,A,A,E
2015-09-02,SPY,276.0,276.02,276.0,276.02,107,29533,2,1,AXW,TME,0.0105620678137634,E,E,E
2015-09-03,SPY,279.39,279.39,279.39,279.39,100,27939,1,1,AXW,TME,0.0121353283417822,E,E,E
2015-09-04,SPY,277.82,278.35,277.82,278.35,540,150129,2,1,AXW,TME,-0.0037293405721591,B,B,E
2015-09-07,SPY,278.94,281.05,278.94,281.05,168,46883,3,1,AXW,TME,0.0096532748185672,E,E,E
2015-09-09,SPY,280.95,281.8,280.66,281.8,206,57900,4,1,AXW,TME,0.0026650100164959,D,C,E
2015-09-10,SPY,279.6,279.6,278.6,279.45,90,25141,4,1,AXW,TME,-0.0083742137488727,A,A,E
2015-09-11,SPY,276.81,276.81,276.81,276.81,37,10242,2,1,AXW,TME,-0.0094920354571329,A,A,E
2015-09-14,SPY,278.67,278.67,278.67,278.67,80,22294,1,1,AXW,TME,0.0066969358089651,D,D,E
2015-09-15,SPY,274.52,274.52,274.52,274.52,20,5490,1,1,AXW,TME,-0.0150041680271053,A,A,E
2015-09-17,SPY,278.4,278.43,278.4,278.43,22,6125,2,1,AXW,TME,0.0141425632349772,E,E,E
2015-09-18,SPY,278.35,278.35,278.31,278.31,45,12525,2,1,AXW,TME,-0.0004310809421213,C,C,E
2015-09-21,SPY,278.31,278.31,276.32,276.32,180,49897,2,1,AXW,TME,-0.0071759859349213,A,B,E
2015-09-22,SPY,276.56,276.61,276.0,276.0,43,11882,3,1,AXW,TME,-0.0011587486812184,C,C,E
2015-09-23,SPY,273.35,273.6,273.35,273.6,131,35820,4,1,AXW,TME,-0.0087336799687545,A,A,E
2015-09-28,SPY,272.77,273.0,272.77,273.0,48,13101,2,1,AXW,TME,-0.0021953905634357,B,B,E
2015-09-29,SPY,269.95,270.0,269.95,270.0,72,19438,3,1,AXW,TME,-0.0110498361865849,A,A,E
2015-09-30,SPY,268.4,270.03,268.4,270.03,171,46002,3,1,AXW,TME,0.0001111049387286,C,C,D
2015-10-01,SPY,272.57,272.57,271.78,271.78,50,13599,2,1,AXW,TME,0.0064598515552477,D,D,D
2015-10-02,SPY,273.7,274.22,273.7,274.22,200,54821,3,1,AXW,TME,0.0089377884361577,E,D,D
2015-10-05,SPY,276.33,276.33,275.29,275.51,784,216558,3,1,AXW,TME,0.0046932216463699,D,D,C
2015-10-06,SPY,279.8,279.8,277.51,277.51,134,37273,4,1,AXW,TME,0.0072330429983638,D,D,C
2015-10-07,SPY,275.71,275.71,274.7,274.7,3525,968873,6,1,AXW,TME,-0.0101773754720147,A,A,C
2015-10-08,SPY,276.97,276.97,276.27,276.27,85,23518,2,1,AXW,TME,0.0056990553001571,D,D,C
2015-10-09,SPY,276.8,276.99,276.8,276.87,493,136469,5,1,AXW,TME,0.0021694335442098,C,C,C
2015-10-12,SPY,275.1,275.1,274.77,274.77,535,147122,3,1,AXW,TME,-0.0076136978625892,A,B,C
2015-10-13,SPY,274.55,274.55,274.55,274.55,39,10707,1,1,AXW,TME,-0.0008009903581241,C,C,C
2015-10-14,SPY,277.37,277.37,276.98,276.98,70,19400,2,1,AXW,TME,0.00881190768969,E,D,C
2015-10-15,SPY,273.44,273.44,272.08,273.23,2028,552966,4,1,AXW,TME,-0.0136313700833259,A,A,C
2015-10-16,SPY,277.12,277.95,277.12,277.95,84,23320,2,1,AXW,TME,0.0171273100682327,E,E,C
2015-10-19,SPY,280.14,280.14,280.14,280.14,1000,280140,1,1,AXW,TME,0.0078482368114222,E,D,C
2015-10-20,SPY,280.53,280.53,280.0,280.0,319,89436,2,1,AXW,TME,-0.000499875041651,C,C,C
2015-10-21,SPY,279.59,279.59,279.59,279.59,35,9786,1,1,AXW,TME,-0.0014653588283039,B,C,C
2015-10-23,SPY,285.54,285.62,285.41,285.41,389,111088,3,1,AXW,TME,0.0206024986303517,E,E,D
2015-10-27,SPY,285.86,285.86,285.86,285.86,2000,571720,2,1,AXW,TME,0.0015754375096718,C,C,C
2015-10-28,SPY,287.22,290.3,287.22,290.3,1030,298917,2,1,AXW,TME,0.0154126905496149,E,E,D
2015-10-29,SPY,293.86,293.86,293.12,293.74,1100,323111,3,1,AXW,TME,0.0117801512951321,E,E,C
2015-10-30,SPY,294.93,294.93,294.93,294.93,1000,294930,1,1,AXW,TME,0.0040430177212262,D,D,C
2015-11-02,SPY,290.52,290.54,290.43,290.43,9,2614,3,1,AXW,TME,-0.0153754566468528,A,A,D
